,COUNTRY.UN_CODE,SPECIES.ALPHA_3_CODE,AREA.CODE,ENVIRONMENT.ALPHA_2_CODE,MEASURE,PERIOD,VALUE,STATUS
0,4,FCY,4,IN,Q_tlw,1969,50.0,I
1,4,FCY,4,IN,Q_tlw,1970,50.0,I
2,4,FCY,4,IN,Q_tlw,1971,50.0,I
3,4,FCY,4,IN,Q_tlw,1972,50.0,I
4,4,FCY,4,IN,Q_tlw,1973,50.0,I
5,4,FCY,4,IN,Q_tlw,1974,50.0,I
6,4,FCY,4,IN,Q_tlw,1975,50.0,I
7,4,FCY,4,IN,Q_tlw,1976,150.0,I
8,4,FCY,4,IN,Q_tlw,1977,150.0,I
9,4,FCY,4,IN,Q_tlw,1978,150.0,I
10,4,FCY,4,IN,Q_tlw,1979,150.0,I
11,4,FCY,4,IN,Q_tlw,1980,150.0,I
12,4,FCY,4,IN,Q_tlw,1981,150.0,I
13,4,FCY,4,IN,Q_tlw,1982,150.0,I
14,4,FCY,4,IN,Q_tlw,1983,150.0,I
15,4,FCY,4,IN,Q_tlw,1984,150.0,I
16,4,FCY,4,IN,Q_tlw,1985,150.0,I
17,4,FCY,4,IN,Q_tlw,1986,150.0,I
18,4,FCY,4,IN,Q_tlw,1987,150.0,I
19,4,FCY,4,IN,Q_tlw,1988,150.0,I
20,4,FCY,4,IN,Q_tlw,1989,150.0,I
21,4,FCY,4,IN,Q_tlw,1990,300.0,I
22,4,FCY,4,IN,Q_tlw,1991,300.0,I
23,4,FCY,4,IN,Q_tlw,1992,300.0,I
24,4,FCY,4,IN,Q_tlw,1993,300.0,I
25,4,FCY,4,IN,Q_tlw,1994,300.0,I
26,4,FCY,4,IN,Q_tlw,1995,300.0,I
27,4,FCY,4,IN,Q_tlw,1996,300.0,I
28,4,FCY,4,IN,Q_tlw,1997,300.0,I
29,4,FCY,4,IN,Q_tlw,1998,300.0,I
30,4,FCY,4,IN,Q_tlw,1999,300.0,I
31,4,FCY,4,IN,Q_tlw,2000,300.0,I
32,4,FCY,4,IN,Q_tlw,2001,400.0,I
33,4,FCY,4,IN,Q_tlw,2002,400.0,I
34,4,FCY,4,IN,Q_tlw,2003,400.0,I
35,4,FCY,4,IN,Q_tlw,2004,400.0,I
36,4,FCY,4,IN,Q_tlw,2005,400.0,I
37,4,FCY,4,IN,Q_tlw,2006,400.0,I
38,4,FCY,4,IN,Q_tlw,2007,900.0,I
39,4,FCY,4,IN,Q_tlw,2008,900.0,I
40,4,FCY,4,IN,Q_tlw,2009,1500.0,I
41,4,FCY,4,IN,Q_tlw,2010,2100.0,I
42,4,FCY,4,IN,Q_tlw,2011,2800.0,I
43,4,FCY,4,IN,Q_tlw,2012,3430.0,I
44,4,FCY,4,IN,Q_tlw,2013,4060.0,I
45,4,FCY,4,IN,Q_tlw,2014,4710.0,I
46,4,FCY,4,IN,Q_tlw,2015,5400.0,I
47,4,FCY,4,IN,Q_tlw,2016,6100.0,I
48,4,FCY,4,IN,Q_tlw,2017,6950.0,I
49,4,FCY,4,IN,Q_tlw,2018,7930.0,I
50,4,FCY,4,IN,Q_tlw,2019,8589.0,I
51,4,FCY,4,IN,Q_tlw,2020,9404.0,I
52,4,FCY,4,IN,Q_tlw,2021,11067.0,I
53,4,FCY,4,IN,Q_tlw,2022,11100.0,I
54,4,FCY,4,IN,Q_tlw,2023,11600.0,I
55,4,TRR,4,IN,Q_tlw,1969,10.0,I
56,4,TRR,4,IN,Q_tlw,1970,10.0,I
57,4,TRR,4,IN,Q_tlw,1971,10.0,I
58,4,TRR,4,IN,Q_tlw,1972,10.0,I
59,4,TRR,4,IN,Q_tlw,1973,10.0,I
60,4,TRR,4,IN,Q_tlw,1974,10.0,I
61,4,TRR,4,IN,Q_tlw,1975,10.0,I
62,4,TRR,4,IN,Q_tlw,1976,20.0,I
63,4,TRR,4,IN,Q_tlw,1977,20.0,I
64,4,TRR,4,IN,Q_tlw,1978,20.0,I
65,4,TRR,4,IN,Q_tlw,1979,20.0,I
66,4,TRR,4,IN,Q_tlw,1980,20.0,I
67,4,TRR,4,IN,Q_tlw,1981,20.0,I
68,4,TRR,4,IN,Q_tlw,1982,20.0,I
69,4,TRR,4,IN,Q_tlw,1983,20.0,I
