,fao_area,isscaap_code,isscaap_group,asfis_code,common_name,species_name,location,status_year,tier,status,uncertainty,assessment_update,data_owner,data_provider,operational_data_process,source_citation,source_citation_url,grsf_short_name,grsf_stock_id,grsf_semantic_id,data_provider_stock_id,unit_update,subarea_description,assessment_method,assessment_description,status_basis,BdivBref,B_refpt,FdivFref,F_refpts,status_text,comments,sosi_temp_id,sdg_id,sosi_record_type
0,fao:41,45,"""Shrimps, prawns""",ASH,Argentine stiletto shrimp,Artemesia longinaris,Brazil and Argentina,,,X,,unkown,FAO,FAO,FAO-SoSI,,,,sosi_1362,,,,,,,,,,,,,,sosi_1362,,Eligible1
1,fao:41,38,"""Sharks, rays, chimaeras""",JAH,Longnose skate,Beringraja rhina,Argentina,,,X,,unkown,FAO,FAO,FAO-SoSI,,,,sosi_1363,,,,,,,,,,,,,,sosi_1363,,Eligible1
2,fao:41,35,"""Herrings, sardines, anchovies""",MHS,Brazilian menhaden,Brevoortia aurea,Argentinean-Uruguayan Common Fishing Zone (AUCFZ),,,X,,unkown,FAO,CTMFM,FIRMS-CTMFM,,,,sosi_1277,,,,,,,,,,,,,,sosi_1277,,Eligible1
3,fao:41,38,"""Sharks, rays, chimaeras""",CHJ,Plownose chimaera,Callorhinchus callorynchus,Argentinean-Uruguayan Common Fishing Zone (AUCFZ),2019.0,2.0,U,,no,CTMFM,CTMFM,FIRMS-CTMFM,,,Plownose chimaera (Pez gallo) - Argentinean-Uruguayan Common Fishing Zone (AUCFZ),b4f637f2-7f90-3aab-804a-4d3a6d58eb2a,asfis:CHJ+rfb:CTMFM,,False,,,,,,,,,,,sosi_1325,,SoSIndex
4,fao:41,42,"""Crabs, sea-spiders""",HBN,Southwest Atlantic red crab,Chaceon notialis,"Southern Brazilian waters and Uruguayan waters (Santos, Rio Grande, Platense)",2019.0,2.0,O,,no,BRA,National,FAO-SoSI,,,"Southwest Atlantic red crab - Southern Brazil and Uruguay (Santos, Rio Grande, Platense)",f6ffc0ba-1f36-3ced-8b96-c5dadd805d95,asfis:HBN+fao:41.2.1;fao:41.2.2;fao:41.2.3,,False,,,,,,,,,,,sosi_1340,,SoSIndex
5,fao:41,34,"""Miscellaneous demersal fishes""",COS,Argentine conger,Conger orbignianus,Argentinean-Uruguayan Common Fishing Zone (AUCFZ),2019.0,2.0,O,,no,CTMFM,CTMFM,FIRMS-CTMFM,,,Argentine conger (Congrio) - Argentinean-Uruguayan Common Fishing Zone (AUCFZ),05178b5d-c07b-3a55-837c-ca1cc1ab02b3,asfis:COS+rfb:CTMFM,,False,,,,,,,,,,,sosi_1256,,SoSIndex
6,fao:41,33,"""Miscellaneous coastal fishes""",YNA,Acoupa weakfish,Cynoscion acoupa,Brazilian waters,2023.0,2.0,M,H,yes,BRA,FAO,FAO-SoSI,,,Acoupa weakfish (Pescada-amarela) - Brazil,cc7ae88e-79d6-3941-9cda-309f3c4b7349,asfis:YNA+wja:BRA,,False,,CMSY++,"Catch only method. Catch data from 1975-2015 applied to three depletion scenarios (low, moderate and high)",F,0.66,Bmsy,1.48,Fmsy,Fmsy based. High fishing mortality overshooting Fmsy,,sosi_1186,,SoSIndex
7,fao:41,33,"""Miscellaneous coastal fishes""",YGC,Stripped weakfish,Cynoscion guatucupa,Argentinean-Uruguayan Common Fishing Zone (AUCFZ),2022.0,1.0,M,L,yes,CTMFM,CTMFM,FIRMS-CTMFM,,https://ctmfm.org/estado-de-los-recursos-pesqueros-administrados-por-la-comision-tecnica-mixta-del-frente-maritimo-en-la-zona-comun-de-pesca-argentino-uruguaya-ano-2024/ ,Stripped weakfish (Pescadilla) - Argentinean-Uruguayan Common Fishing Zone (AUCFZ),9ef7c4cc-9364-3df3-bc48-50c5bec8b55b,asfis:YGC+rfb:CTMFM,,False,,Surplus production and SS3 ,Schaefer's surplus production model (Data from 1874 - 2021) and SS3 data from (Data from 1874-2022).,B,1.46,Bmsy,,,Both B/Bmsy (JABBA) and B/B40 (SS3) are > 1. 100% of not being overfished. ,BdivBref is average from 4 JABBA scenarios. For SS3 reference is 0.4 of Reproductive Biomass (B/B40).,sosi_1185,,SoSIndex
8,fao:41,33,"""Miscellaneous coastal fishes""",YGC,Stripped weakfish (Pescadilla),Cynoscion guatucupa,"Southern Brazilian waters (Santos, Rio Grande)",2023.0,1.0,U,M,yes,BRA,National,FIRMS-SFP,"Dias, M. C., Cardoso, L. G., Santos, E. K., & Sant’Ana, R. (2024). Os efeitos da proibição da pesca de arrasto nas 12 milhas náuticas do Rio Grande do Sul sobre os estoques pesqueiros demersais. In Anais do 20º Congresso Latino-Americano de Ciências do Mar – COLACMAR’2024 e 8º Congresso Brasileiro de Oceanografia – CBO’2024 (pp. 366–367).",,Stripped weakfish - Southern Brazil,1c964dda-64ed-367b-a961-5aa3b0981809,asfis:YGC+fao:41.2.1;fao:41.2.2;wja:BRA,,False,,SS3,"Age-structured population dynamics model (SS3). Catch, cpue and length data from 1960 to 2022. ",B,1.14,Bmsy,0.17,Fmsy,Bmsy based. 55% probability to NOT be overfished.,,sosi_1184,,SoSIndex
9,fao:41,33,"""Miscellaneous coastal fishes""",DIG,South American silver porgy,Diplodus argenteus,Argentinean-Uruguayan Common Fishing Zone (AUCFZ),2019.0,2.0,M,,no,CTMFM,CTMFM,FIRMS-CTMFM,,,South American silver porgy (Sargo) - Argentinean-Uruguayan Common Fishing Zone (AUCFZ),5f6738bc-c84b-39fb-bf14-1553ef9b8b1d,asfis:DIG+rfb:CTMFM,,False,,,,,,,,,,,sosi_1197,,SoSIndex
