,fao_area_label,common_name,location,grsf_stock_id,isscaap_code,status_year,asfis_code,status,species_name,isscaap_group,tier,uncertainty,fao_areas
231,fao:27,Atlantic cod,"North Sea, West of Scotland, eastern English Channel, and Skagerrak",,32,2023,COD,M,Gadus morhua,"Cods, hakes, haddocks",1,L,['27']
232,fao:27,Atlantic cod,"North Sea, West of Scotland, eastern English Channel, and Skagerrak",,32,2023,COD,M,Gadus morhua,"Cods, hakes, haddocks",1,L,['27']
233,fao:27,European anchovy,Area 27 Division 9.a Southern,,35,2023,ANE,M,Engraulis encrasicolus,"Herrings, sardines, anchovies",3,M,['27']
337,fao:31,Southern flounder,USA Louisiana state,,31,2023,YSH,M,Paralichthys lethostigma,"Flounders, halibuts, soles",1,L,['31']
338,fao:31,Yellowedge grouper,USA Gulf of Mexico,,33,2021,EEL,U,Hyporthodus flavolimbatus,Miscellaneous coastal fishes,1,L,['31']
339,fao:31,Spotted weakfish,USA Florida east coast,,33,2023,SWF,U,Cynoscion nebulosus,Miscellaneous coastal fishes,1,L,['31']
340,fao:31,Spotted weakfish,USA Florida west coast,,33,2023,SWF,U,Cynoscion nebulosus,Miscellaneous coastal fishes,1,L,['31']
341,fao:31,Cobia,Area 31 - USA Atlantic coast,,37,2017,CBA,U,Rachycentron canadum,Miscellaneous pelagic fishes,1,M,['31']
342,fao:31,Scalloped hammerhead,Area 31 - Western Atlantic,,38,2019,SPL,U,Sphyrna lewini,"Sharks, rays, chimaeras",1,M,['31']
343,fao:31,Great hammerhead,Area 31 - Western Atlantic,,38,2019,SPK,O,Sphyrna mokarran,"Sharks, rays, chimaeras",1,M,['31']
344,fao:31,Smooth hammerhead,Area 31 - Western Atlantic,,38,2021,SPZ,O,Sphyrna zygaena,"Sharks, rays, chimaeras",1,L,['31']
