,species_name,common_name,location
0,Aliger gigas,Queen conch,Area 31 Honduras
1,Aliger gigas,Queen conch,Dominican Republic
2,Aliger gigas,Queen conch,Belize
3,Aliger gigas,Queen conch,The Bahamas
4,Aliger gigas,Queen conch,Area 31 Nicaragua
5,Aliger gigas,Queen conch,Jamaica
6,Aliger gigas,Queen conch,Area 31 Mexico
7,Aliger gigas,Queen conch,Puerto Rico
8,Aliger gigas,Queen conch,Turks and Caicos
9,Aliger gigas,Queen conch,USA Virgin islands
10,Arca zebra,Turkey wing,Venezuela
11,Archosargus probatocephalus,Sheepshead,USA Florida east coast
12,Archosargus probatocephalus,Sheepshead,USA Florida west coast
13,Archosargus probatocephalus,Sheepshead,USA Louisiana waters
14,Balistes capriscus,Gray triggerfish,USA Gulf of Mexico
15,Brevoortia patronus,Gulf menhaden,USA Gulf of Mexico
16,Brevoortia tyrannus,Atlantic menhaden,Area 31 - USA Atlantic coast
17,Callinectes sapidus,Blue crab,Area 31 Mexico
18,Callinectes sapidus,Blue crab,Venezuela
19,Callinectes sapidus,Blue crab,USA Louisiana waters
20,Carcharhinus limbatus,Blacktip shark,Area 31 North Atlantic
21,Carcharhinus plumbeus,Sandbar shark,Area 31 North Atlantic
22,Centropomus spp,Snooks(=Robalos) nei,Mexico Gulf of Mexico
23,Centropomus undecimalis,Common snook,Venezuela
24,Centropristis striata,Black sea bass,Area 31 - USA Southeast
25,Coryphaena hippurus,Common dolphinfish,Area 31 Western Central Atlantic
26,Crassostrea virginica,American cupped oyster,USA Louisiana state
27,Crassostrea virginica,American cupped oyster,Area 31 Mexico
28,Cynoscion nebulosus,Spotted weakfish,USA Mississippi waters
29,Cynoscion nebulosus,Spotted weakfish,USA Louisiana waters
30,Cynoscion nebulosus,Spotted weakfish,Mexico Gulf of Mexico
31,Cynoscion regalis,Squeteague,Area 31 USA Atlantic coast
32,Epinephelus morio,Red Grouper,USA Gulf of Mexico
33,Epinephelus morio,Red Grouper,Area 31 - USA Southeast
34,Epinephelus morio,Red Grouper,Mexican Gulf of Mexico
35,Hirundichthys affinis,Fourwing flyingfish,Eastern Caribbean
36,Holothuriidae,Holothuriidae,Area 31 Nicaragua
37,Hyporthodus niveatus,Snowy grouper,Area 31 - USA Southeast
38,Hyporthodus niveatus,Snowy grouper,USA Gulf of Mexico
39,Istiophorus albicans,Atlantic sailfish,Area 31 Western Atlantic
40,Kajikia albida,White marlin,Area 31 Atlantic
41,Lutjanus analis,Mutton snapper,USA South Atlantic and Gulf of Mexico
42,Lutjanus campechanus,Red snapper,Mexico Gulf of Mexico
43,Lutjanus campechanus,Red snapper,USA Gulf of Mexico
44,Lutjanus campechanus,Red snapper,Area 31 - USA Southeast
45,Lutjanus griseus,Gray snapper,USA Gulf of Mexico
46,Lutjanus synagris,Lane snapper,Cuba
47,Lutjanus synagris,Lane snapper,Area 31 Mexico
48,Makaira nigricans,Blue marlin,Area 31 Atlantic
49,Menticirrhus littoralis,Gulf kingcroaker,Mexico Gulf of Mexico
50,Menticirrhus littoralis,Gulf kingcroaker,USA Gulf of Mexico
51,Micropogonias furnieri,Whitemouth croaker,Venezuela
52,Mugil cephalus,Flathead grey mullet,USA Florida west coast
53,Mugil cephalus,Flathead grey mullet,USA Louisiana waters
54,Mugil cephalus,Flathead grey mullet,USA Florida east coast
55,Mugil cephalus,Flathead grey mullet,Mexico Gulf of Mexico
56,Mugil liza,Lebranche mullet,Venezuela
57,Mycteroperca microlepis,Gag grouper,USA Gulf of Mexico
58,Mycteroperca microlepis,Gag grouper,Area 31 - USA Southeast
59,Mycteroperca phenax,Scamp,USA Gulf of Mexico
60,Octopus maya;Octopus vulgaris,Mexican four-eyed octopus and common octopus,Area 31 Mexico
61,Ocyurus chrysurus,Yellowtail Snapper,Area 31 - USA Southeast
62,Ocyurus chrysurus,Yellowtail Snapper,Area 31 Mexico
63,Ocyurus chrysurus,Yellowtail Snapper,Cuba
64,Ocyurus chrysurus,Yellowtail Snapper,Venezuela
65,Opisthonema oglinum,Atlantic thread herring,USA Gulf of Mexico
66,Opisthonema oglinum,Atlantic thread herring,Venezuela
67,Opisthonema oglinum,Atlantic thread herring,Cuba
68,Panulirus argus,Caribbean spiny lobster,Puerto Rico
69,Panulirus argus,Caribbean spiny lobster,Saint Croix
70,Panulirus argus,Caribbean spiny lobster,Saint Thomas/Saint John
71,Panulirus argus,Caribbean spiny lobster,Cuba
72,Panulirus argus,Caribbean spiny lobster,Center Caribbean stock
73,Panulirus argus,Caribbean spiny lobster,Western Caribbean stock
74,Panulirus argus,Caribbean spiny lobster,Northern Caribbean stock
75,Penaeus aztecus,Brown shrimp,Area 31 USA South Atlantic
76,Penaeus aztecus,Northern brown shrimp,USA Gulf of Mexico
77,Penaeus duorarum,Northern pink shrimp,USA Gulf of Mexico
78,Penaeus duorarum,Pink shrimp,Area 31 USA South Atlantic
79,Penaeus setiferus,White shrimp,Area 31 USA South Atlantic
80,Penaeus setiferus,Northern white shrimp,USA Gulf of Mexico
81,Pogonias cromis,Black drum,USA Louisiana waters
82,Pogonias cromis,Black drum,Mexico Gulf of Mexico
83,Rhomboplites aurorubens,Vermilion snapper,USA Gulf of Mexico
84,Rhomboplites aurorubens,Vermilion snapper,Area 31 - USA Southeast
85,Sardinella aurita,Round sardinella,Eastern Venezuela
86,Sciaenops ocellatus,Red Drum,USA Southeast Atlantic
87,Sciaenops ocellatus,Red Drum,USA North west Florida
88,Sciaenops ocellatus,Red Drum,USA South west Florida
89,Scomberomorus brasiliensis,Serra Spanish mackerel,"Guyana, Trinidad and Tobago, and Venezuela"
90,Scomberomorus cavalla,King mackerel,USA Gulf of Mexico
91,Scomberomorus cavalla,King mackerel,Area 31 - USA Southeast
92,Scomberomorus cavalla,King mackerel,Dominican Republic
93,Scomberomorus cavalla,King mackerel,Area 31 Mexico
94,Scomberomorus cavalla,King mackerel,"Guyana, Trinidad and Tobago, and Venezuela"
95,Scomberomorus maculatus,Atlantic Spanish mackerel,USA Gulf of Mexico
96,Scomberomorus maculatus,Atlantic Spanish mackerel,Area 31 USA South Atlantic
97,Seriola dumerili,Greater amberjack,USA Gulf of Mexico
98,Seriola dumerili,Greater amberjack,Area 31 USA South Atlantic
99,Thunnus atlanticus,Blackfin tuna,Area 31 Western Central Atlantic
100,Xiphias gladius,Swordfish,Area 31 North Atlantic
101,Xiphopenaeus kroyeri,Atlantic seabob,Suriname
102,Xiphopenaeus kroyeri,Atlantic seabob,Guyana
103,Paralichthys lethostigma,Southern flounder,USA Louisiana state
104,Hyporthodus flavolimbatus,Yellowedge grouper,USA Gulf of Mexico
105,Cynoscion nebulosus,Spotted weakfish,USA Florida east coast
106,Cynoscion nebulosus,Spotted weakfish,USA Florida west coast
107,Rachycentron canadum,Cobia,Area 31 - USA Atlantic coast
108,Sphyrna lewini,Scalloped hammerhead,Area 31 - Western Atlantic
109,Sphyrna mokarran,Great hammerhead,Area 31 - Western Atlantic
110,Sphyrna zygaena,Smooth hammerhead,Area 31 - Western Atlantic
